WRONG_SUM! 17/01 13:56:05 SUM: 141  	b'\xc7\x80@x\x85\xe1\x9e\x1c2\xf4\x9c\xb9\xe8${\xa0\xc4\xb68\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 123  	b'\xc7\x00@~\x16j\x80\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 94  	b'\xce\x8fo\xe6\xcb\xa9\xb5\xf6?\xb5\xf6\xe7\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:56:05 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 10  	b'3 (\xce\xc5q\xef2\x00\xdc\xae\x04\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 196  	b'\x9a\xda\xc7\x01\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 154  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\x98\n'
WRONG_SUM! 17/01 13:56:06 SUM: 3  	b'\x14\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 132  	b's\xf5I\xff\xa9q\x82\xfe\xfe4\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 224  	b'\x03\xdaA\x02\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 243  	b'\x03\x80@\xde\xc5\xd1\xef\xbc4\xb8\xb44\xb8\xe4 \x98\x03\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 249  	b'3\x00\xa8YF\xff\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 208  	b'3\x00\xa8\xef\xc5U\xd0\x85_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 233  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 144  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\xc0s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 116  	b'\x03\x9a\xff\x1d\x00\xc7\x9a\x07g}Z\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 7  	b'\xc7\x80@xW\xbe\x9c\xfa\x1c\x93\xa0\x9c\xb9\xe8$i\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 162  	b'\xc7\x00@~\x16\xa9\x0e\x0c\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 243  	b'\xce\x8fo\xcc\xcb\xbf\x95-\xbf\xaa\xd9\xe7\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 13:56:06 SUM: 85  	b'3\x00(\xef\xc5qg2T\xdc\xae\x0c\xdc\xde4\xdc\xae\x14\x1c\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 196  	b'\x9a\xda\xc7\x01\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 98  	b'\x9a\x80\x00\xde\xc5\xd1g\x85\x8c\x98\n'
WRONG_SUM! 17/01 13:56:07 SUM: 23  	b'\x00\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 13:56:07 SUM: 93  	b'\x9at{\xde\xd5\x05\x00\xfa\xdb\x97\xfa\xcf\x97\xfa\xcd\x97\xfa\xd1\x97\xd6\x00'
