WRONG_SUM! 17/01 14:06:36 SUM: 186  	b'3\x00(\xce\xc5qw2\x04\xdc\xae\x0c\xdc\xde\x10\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 60  	b'\xc2\x9a8\x03\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 134  	b'\xc2\x80\x8e\x9f\x0b6'
WRONG_SUM! 17/01 14:06:37 SUM: 170  	b'\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 191  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7'
WRONG_SUM! 17/01 14:06:37 SUM: 106  	b'*|\xf6*|\xc6*|\xbe*\xc4'
WRONG_SUM! 17/01 14:06:37 SUM: 255  	b'\x01\x00o'
WRONG_SUM! 17/01 14:06:37 SUM: 226  	b'U\xc9\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 140  	b'\x9a\xda\xc7'
WRONG_SUM! 17/01 14:06:37 SUM: 152  	b'!\x00\x9a\x80\x00\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:06:37 SUM: 23  	b'\x00\xdc\xb6W\x00\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 223  	b'\x9at{\xbe\xd5\x05\n'
WRONG_SUM! 17/01 14:06:37 SUM: 11  	b'\xfa\xdb\x97\xf8\xcf\x97\xfa\xcd\x97\xfc\xd1\x97'
WRONG_SUM! 17/01 14:06:37 SUM: 170  	b'V\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 47  	b'\x9a\xb4{\xba\xfd\xd9\x97\xf4\xdd\x97\xf8\x81\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 76  	b'\x9a\x80@{\xc5\x8f\xbe\xa3d\x97hRq\x04\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 137  	b'\xce\x8f\xcf\x98\xcb_\x95\xcb\xbf\xaa\xd9\xe7\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 83  	b'\x03\x80@\xde\xc5\xd1g\xbc4\xd8\xb44\xb8\xe4(\x98\x03\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 23  	b'3 \xa8\x1f1\xed\xb1\x07'
WRONG_SUM! 17/01 14:06:37 SUM: 190  	b'B\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 130  	b'3\x00\xa8\xef@U\xd0\x85_\xac\xf0\x969\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 101  	b'\xc7\x9a\x07g\x1f\xad\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 1  	b'\xc7\x80@x\x85\xe1O\x1c2\xf4\x9c\xb9\xf1$i\xa0\xc4\xb6\x1c\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 123  	b'\xc7\x00@~\x16j\x80\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 35  	b'\x03\xdaA'
WRONG_SUM! 17/01 14:06:37 SUM: 250  	b'\x06\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 164  	b's\xed\xfc\x00'
WRONG_SUM! 17/01 14:06:37 SUM: 138  	b'3 (\xce\xc5qg2\x00\xdc\xae\x0c\xdc\xde4\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:06:38 SUM: 164  	b'\xc2\x9a8'
WRONG_SUM! 17/01 14:06:38 SUM: 208  	b'\x03\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:06:38 SUM: 134  	b'\xc2\x80\x8e\x9f\x0b6'
WRONG_SUM! 17/01 14:06:38 SUM: 170  	b'\xe0s\x03\x00'
WRONG_SUM! 17/01 14:06:38 SUM: 191  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7'
WRONG_SUM! 17/01 14:06:38 SUM: 106  	b'*|\xf6*|\xc6*|\xbe*\xc4'
WRONG_SUM! 17/01 14:06:38 SUM: 115  	b'\x01\x00oU\xff\xc9\x00'
