WRONG_SUM! 17/01 14:20:07 SUM: 206  	b'\xc7\x80@~\x16\xfd\x0e\x0c\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 78  	b'\xce\x8fo\xe4\xcb\xbf\x95\x8d\xbf\xaa\xd9\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 45  	b'sd\xfc\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 190  	b'3\x00(\xce\xc5qw2\x00\xdc\xae\x0c\xdc\xde4\xdc\xae\x10\x1c\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 8  	b'\xceB\xfe\xea\x00'
WRONG_SUM! 17/01 14:20:07 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 77  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x80s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 125  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 100  	b'\x9a\x80\x00/\x11\xd4\x7f\x01\x00\x02\x00\xec\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 197  	b'\x9a\xda\xc7\x00\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 65  	b'\x9a\x80\x00\xde\xc5\xd1g\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:20:08 SUM: 177  	b'\x14\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 68  	b's\xf5I\xff\xa9q\xc2\xfe\xfe4\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 51  	b'\x03\x80@\xde\xc5\xd1g\xbc4\xb8\xb44\xb8\xe4h\x98\x03\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 249  	b'3\x00\xa8YF\xff\xb1\x07\xd6\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 181  	b'3 \xa8\xef\xc5U\xd0\x80_\xac\xf0\x969\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 175  	b's\xf5I\xff}\x00\x03\xdaA\x06\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 66  	b'\xc7\x9a\x07g\x1f\xbf\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 84  	b'\xc7\x80@x\x85\xe1O\x1c2\xf4\x9c\xb9\xe8$\xd2\xa0\xc4\xb6<\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 110  	b'\xc7\x80@~\x16j\x07\x06\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 71  	b'\x03\x9a\xff\x1d\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 198  	b'\xce\x8fo\xcc\xcb\xbf\x95-\xbf\xaa\xd9\xe7\x00s\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 29  	b'st\xfc\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 163  	b'3\x00(\xef\xc5qg2\x00\xdc\xae\x0c\xdc\xde\x1a\xdc\xae4\x1c\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 198  	b'\xce\x84\xfe\xea\x00'
WRONG_SUM! 17/01 14:20:08 SUM: 105  	b'\xc2\x9a8\x03\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 250  	b'\xc2\x80\x8e\x9f\x0b6\xe0s\x03\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 108  	b'\xc2\x80\x8e<\x85\xe1\xcf\xe7*|\xf6*|\xc6*|\xbe*\xc4\x01\x00S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 196  	b'\x9a\xda\xc7\x01\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 121  	b'\x9a\x80@\xde\xc5\xd1\xef\x85\x8c\xb9\n'
WRONG_SUM! 17/01 14:20:09 SUM: 197  	b'\x00\xdc\xb6WR\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 123  	b'G\xa6\x98\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 211  	b's\xf5I\xff}\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 239  	b'S\xf5\xc9\x00'
WRONG_SUM! 17/01 14:20:09 SUM: 98  	b's\xf5I\xff\xa9q\xa6\xfe\xfc4\x00'
